,time,bg,bg_sensor,iob,temp_basal,temp_basal_time_remaining,sbr,cir,isf,pump_sbr,pump_isf,pump_cir,true_bolus,true_carb_value,true_carb_duration,reported_bolus,reported_carb_value,reported_carb_duration,delivered_basal_insulin,undelivered_basal_insulin
0,8/15/19 12:00,110,110,2.633454971,,,0.3,20,150,0.3 U,150.0 m,20.0 g,2,20,180,2,40,180,0.025,0
1,8/15/19 12:05,108.898475,108.898475,2.626111471,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
2,8/15/19 12:10,106.1714682,106.1714682,2.607931426,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
3,8/15/19 12:15,102.0788877,102.0788877,2.580647556,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
4,8/15/19 12:20,96.84987624,96.84987624,2.54578748,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
5,8/15/19 12:25,107.5212194,107.5212194,2.504695293,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
6,8/15/19 12:30,115.5452629,115.5452629,2.458551018,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
7,8/15/19 12:35,121.2890921,121.2890921,2.408388122,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
8,8/15/19 12:40,125.0763734,125.0763734,2.355109285,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
9,8/15/19 12:45,127.192154,127.192154,2.299500589,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
10,8/15/19 12:50,127.8871478,127.8871478,2.242244283,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
11,8/15/19 12:55,127.3815611,127.3815611,2.183930254,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
12,8/15/19 13:00,125.8685084,125.8685084,2.125066334,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
13,8/15/19 13:05,123.5170587,123.5170587,2.066087551,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
14,8/15/19 13:10,120.4749548,120.4749548,2.007364435,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
15,8/15/19 13:15,116.8710376,116.8710376,1.949210462,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
16,8/15/19 13:20,112.8174075,112.8174075,1.891888724,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
17,8/15/19 13:25,108.4113512,108.4113512,1.835617907,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
18,8/15/19 13:30,103.7370584,103.7370584,1.78057763,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
19,8/15/19 13:35,98.86715072,98.86715072,1.726913225,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
20,8/15/19 13:40,93.86404294,93.86404294,1.674740005,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
21,8/15/19 13:45,88.78115414,88.78115414,1.624147071,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
22,8/15/19 13:50,83.66398523,83.66398523,1.575200706,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
23,8/15/19 13:55,78.55107683,78.55107683,1.527947395,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
24,8/15/19 14:00,73.47486036,73.47486036,1.482416516,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
25,8/15/19 14:05,68.46241379,68.46241379,1.438622728,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
26,8/15/19 14:10,63.53613241,63.53613241,1.396568086,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
27,8/15/19 14:15,58.71432359,58.71432359,1.356243917,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
28,8/15/19 14:20,54.01173395,54.01173395,1.317632483,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
29,8/15/19 14:25,49.44001602,49.44001602,1.280708444,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
30,8/15/19 14:30,45.00814125,45.00814125,1.245440147,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
31,8/15/19 14:35,40.72276489,40.72276489,1.211790764,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
32,8/15/19 14:40,36.58854831,36.58854831,1.179719287,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
33,8/15/19 14:45,32.60844313,32.60844313,1.1491814,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
34,8/15/19 14:50,28.7839417,28.7839417,1.120130242,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
35,8/15/19 14:55,25.11529726,25.11529726,1.092517066,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
36,8/15/19 15:00,21.60171751,21.60171751,1.066291816,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
37,8/15/19 15:05,18.24153428,18.24153428,1.041403621,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
38,8/15/19 15:10,15.03235219,15.03235219,1.017801225,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
39,8/15/19 15:15,11.97117844,11.97117844,0.995433348,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
40,8/15/19 15:20,9.054536124,9.054536124,0.974248999,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
41,8/15/19 15:25,6.278562739,6.278562739,0.954197738,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
42,8/15/19 15:30,3.639095662,3.639095662,0.935229896,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
43,8/15/19 15:35,1.131746141,1.131746141,0.917296756,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
44,8/15/19 15:40,-1.248036934,-1.248036934,0.900350701,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
45,8/15/19 15:45,-3.504912229,-3.504912229,0.884345339,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
46,8/15/19 15:50,-5.643599106,-5.643599106,0.869235591,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
47,8/15/19 15:55,-7.668837724,-7.668837724,0.85497777,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
48,8/15/19 16:00,-9.585355296,-9.585355296,0.841529631,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
49,8/15/19 16:05,-11.39783771,-11.39783771,0.82885041,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
50,8/15/19 16:10,-13.1109059,-13.1109059,0.816900842,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
51,8/15/19 16:15,-14.72909631,-14.72909631,0.805643177,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
52,8/15/19 16:20,-16.25684501,-16.25684501,0.795041177,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
53,8/15/19 16:25,-17.6984749,-17.6984749,0.785060105,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
54,8/15/19 16:30,-19.0581857,-19.0581857,0.77566671,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
55,8/15/19 16:35,-20.34004625,-20.34004625,0.766829203,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
56,8/15/19 16:40,-21.54798892,-21.54798892,0.758517229,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
57,8/15/19 16:45,-22.68580569,-22.68580569,0.750701833,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
58,8/15/19 16:50,-23.75714582,-23.75714582,0.743355422,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
59,8/15/19 16:55,-24.76551476,-24.76551476,0.736451731,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
60,8/15/19 17:00,-25.71427416,-25.71427416,0.729965777,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
61,8/15/19 17:05,-26.60664283,-26.60664283,0.723873819,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
62,8/15/19 17:10,-27.44569838,-27.44569838,0.718153313,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
63,8/15/19 17:15,-28.23437963,-28.23437963,0.712782867,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
64,8/15/19 17:20,-28.97548942,-28.97548942,0.707742199,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
65,8/15/19 17:25,-29.67169793,-29.67169793,0.703012088,,,0.3,20,150,0.3 U,150.0 m,20.0 g,0,0,0,0,0,0,0.025,0
