,Level of Analysis, Number of<br>Simulations,Median LBGI<br>     (IQR),Median LBGI Risk Score<br>             (IQR),Median DKAI<br>     (IQR),Median DKAI Risk Score<br>             (IQR)
0,All Analyses Combined,79830.0,0.2 (IQR=0.0-0.8),1.0 (IQR=0.0-1.0),0.0 (IQR=0.0-0.0),0.0 (IQR=0.0-0.0)
1,correction_bolus,26610.0,0.1 (IQR=0.0-0.6),1.0 (IQR=0.0-1.0),0.0 (IQR=0.0-0.0),0.0 (IQR=0.0-0.0)
2,temp_basal_only,26610.0,0.6 (IQR=0.1-1.6),1.0 (IQR=1.0-1.0),0.0 (IQR=0.0-1.7),0.0 (IQR=0.0-0.0)
3,meal_bolus,26610.0,0.0 (IQR=0.0-0.4),0.0 (IQR=0.0-1.0),0.0 (IQR=0.0-0.0),0.0 (IQR=0.0-0.0)
4,BG Test Condition 1,8280.0,1.3 (IQR=1.1-1.7),1.0 (IQR=1.0-1.0),0.0 (IQR=0.0-0.0),0.0 (IQR=0.0-0.0)
5,BG Test Condition 2,9000.0,0.0 (IQR=0.0-0.1),1.0 (IQR=0.0-1.0),0.0 (IQR=0.0-0.0),0.0 (IQR=0.0-0.0)
6,BG Test Condition 3,9000.0,0.0 (IQR=0.0-0.1),0.0 (IQR=0.0-1.0),0.0 (IQR=0.0-0.0),0.0 (IQR=0.0-0.0)
7,BG Test Condition 4,8820.0,0.7 (IQR=0.6-1.1),1.0 (IQR=1.0-1.0),0.0 (IQR=0.0-0.0),0.0 (IQR=0.0-0.0)
8,BG Test Condition 5,9000.0,0.0 (IQR=0.0-0.2),1.0 (IQR=0.0-1.0),0.0 (IQR=0.0-0.0),0.0 (IQR=0.0-0.0)
9,BG Test Condition 6,9000.0,0.0 (IQR=0.0-0.6),0.0 (IQR=0.0-1.0),0.0 (IQR=0.0-1.2),0.0 (IQR=0.0-0.0)
10,BG Test Condition 7,8820.0,0.3 (IQR=0.2-0.4),1.0 (IQR=1.0-1.0),0.0 (IQR=0.0-0.0),0.0 (IQR=0.0-0.0)
11,BG Test Condition 8,8910.0,0.0 (IQR=0.0-0.2),1.0 (IQR=0.0-1.0),0.0 (IQR=0.0-0.0),0.0 (IQR=0.0-0.0)
12,BG Test Condition 9,9000.0,0.0 (IQR=0.0-1.3),0.0 (IQR=0.0-1.0),0.0 (IQR=0.0-2.0),0.0 (IQR=0.0-1.0)
