,Level of Analysis, Number of<br>Simulations,Median LBGI<br>     (IQR),Median DKAI<br>     (IQR)
0,All Analyses Combined,79830.0,0.4 (IQR=0.1-1.3),0.0 (IQR=0.0-0.0)
1,Correction Bolus Analysis,26610.0,0.5 (IQR=0.1-1.9),0.0 (IQR=0.0-0.0)
2,Meal Bolus Analysis,26610.0,0.4 (IQR=0.1-0.8),0.0 (IQR=0.0-0.0)
3,Temp Basal Analysis,26610.0,0.3 (IQR=0.1-1.8),0.0 (IQR=0.0-0.0)
4,BG Test Condition 1,8280.0,4.4 (IQR=1.7-5.8),1.0 (IQR=0.0-1.8)
5,BG Test Condition 2,9000.0,0.2 (IQR=0.0-0.4),0.0 (IQR=0.0-0.0)
6,BG Test Condition 3,9000.0,0.2 (IQR=0.0-0.4),0.0 (IQR=0.0-0.0)
7,BG Test Condition 4,8820.0,2.3 (IQR=1.1-3.2),0.0 (IQR=0.0-0.3)
8,BG Test Condition 5,9000.0,0.2 (IQR=0.1-0.5),0.0 (IQR=0.0-0.0)
9,BG Test Condition 6,9000.0,0.2 (IQR=0.0-0.4),0.0 (IQR=0.0-0.0)
10,BG Test Condition 7,8820.0,1.1 (IQR=0.6-1.7),0.0 (IQR=0.0-0.0)
11,BG Test Condition 8,8910.0,0.3 (IQR=0.1-0.5),0.0 (IQR=0.0-0.0)
12,BG Test Condition 9,9000.0,0.2 (IQR=0.0-0.6),0.0 (IQR=0.0-0.0)
